time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6854.742284	338.751617	1.521893	0.113053	213
6856.785521	338.790833	1.519941	0.111969	215
6858.828699	338.750214	1.519551	0.111406	217
6860.871346	338.635712	1.518578	0.109832	219
6862.914272	338.755829	1.517924	0.108328	221
6864.956688	338.870178	1.517933	0.107705	223
6866.998502	339.056488	1.515406	0.106788	225
6869.040479	339.319183	1.514929	0.104758	227
6871.082186	339.580109	1.512973	0.103480	229
6873.124512	339.765930	1.511086	0.101793	231
6875.166730	339.806458	1.508711	0.099215	233
6877.210680	339.711060	1.507939	0.096720	235
6879.255256	339.318878	1.508728	0.094847	237
6881.300397	338.851807	1.507787	0.093267	239
6883.345688	338.319824	1.506908	0.091852	241
6885.390839	337.744141	1.506082	0.091159	243
6887.435645	337.256927	1.504321	0.090701	245
6889.479602	336.949677	1.500371	0.090118	247
6891.523824	336.662567	1.498242	0.089887	249
6893.566308	336.607574	1.496217	0.088779	251
6895.608685	336.608826	1.494150	0.087632	253
6897.650990	336.663422	1.492290	0.087151	255
6899.693175	336.793610	1.489896	0.086806	1
6901.735414	336.845825	1.488648	0.085326	3
6903.777887	336.949799	1.485922	0.083901	5
6905.820316	337.035095	1.483023	0.082438	7
6907.862937	337.141632	1.481261	0.081129	9
6909.905711	337.250702	1.480788	0.080196	11
6911.948165	337.409790	1.477926	0.078847	13
6913.990705	337.560455	1.477782	0.077284	15
6916.032476	337.773010	1.478498	0.075381	17
6918.074149	338.060791	1.480022	0.073763	19
6920.114853	338.296631	1.481814	0.072459	21
6922.155184	338.585632	1.482337	0.070639	23
6924.195094	338.841888	1.481868	0.069466	25
6926.234924	339.041870	1.480252	0.068879	27
6928.274846	339.188263	1.477121	0.067696	29
6930.315145	339.271271	1.471866	0.067377	31
6932.356114	339.316620	1.466751	0.066281	33
6934.397461	339.378448	1.460596	0.067001	35
6936.439516	339.365631	1.456960	0.066361	37
6938.482167	339.345093	1.455016	0.065829	39
6940.524284	339.322754	1.453530	0.064433	41
6942.567162	339.363617	1.451632	0.062888	43
6944.609408	339.455353	1.448395	0.061525	45
6946.651760	339.545593	1.446697	0.060953	47
6948.694101	339.628693	1.445332	0.059724	49
6950.736196	339.753601	1.442913	0.058256	51
6952.778588	339.821014	1.443093	0.056626	53
6954.821149	339.862457	1.443717	0.055384	55
6956.864111	339.820038	1.443180	0.053449	57
6958.908002	339.768768	1.443829	0.051709	59
6960.952023	339.591888	1.443397	0.050133	61
6962.996602	339.372742	1.444449	0.048594	63
